Index|Word|Definition|Grouping
53|Acclimate|To Habituate To A Climate Not Native|Verb

54|Acclivity|A Slope Or Inclination Of The Earth, As The Side Of A Hill|Noun

55|Accolade|To Embrace Or Kiss In Salutation|Verb

56|Accommodate|To Adapt, As, To Accommodate Ourselves To Circumstances|Verb

57|Accompaniment|That Which Gives Support Or Adds To The Background|Noun

58|Accompany|To Perform An Accompanying Part Or Parts In A Composition|Verb

59|Accomplice|Partner In Activity, Usually Crime|Noun

60|Accomplish|To Finish Successfully|Verb

61|Accord|To Make To Agree Or Correspond, To Suit One Thing To Another|Verb

62|Accordion|To Fold Up, In The Manner Of An Accordion|Verb

63|Accost|To Approach And Speak To Boldly Or Aggressively|Verb

64|Account|To Compute, To Count|Verb

65|Accouter|To Furnish With Dress Or Equipments|Verb

66|Accouterments|Dress, Trappings, Equipment|Noun

67|Accredit|To Put Or Bring Into Credit, To Invest With Credit|Verb

68|Accretion|Growth By Slow Buildup|Noun

69|Accrue|To Happen Or Result As A Natural Growth, Addition|Verb

70|Acculturation|Adopting Cultural Elements Of Another Culture|Noun

71|Accumulate|To Heap Up In A Mass, To Collect|Verb

72|Accurse|To Devote To Destruction|Verb

73|Accusation|The Act Of  With A Crime Or With A Lighter Offense|Noun

74|Accuse|To Find Fault With, To Blame|Verb

75|Accustom|To Make Familiar By Use, To Cause To Accept|Verb

76|Acerbic|Acid In Temper, Mood Or Tone|Adjective

77|Acetate|Any Salt Or Ester Of Acetic Acid|Noun

78|Acetic|Of, Pertaining To, Or Producing Vinegar|Adjective

79|Achillean|Invincible|Adjective

80|Achromatic|Without Colour|Adjective

81|Acidulous|Slightly Sour, Sub-Acid|Adjective

82|Acknowledge|To Admit The Knowledge Of, To Recognize As A Fact Or Truth|Verb

83|Acknowledgment|The Act Of Acknowledging, Admission|Noun

84|Acme|The Top Or Highest Point, Pinnacle, Culmination|Noun

85|Acoustic|Designed To Carry Sound Or To Aid In Hearing|Adjective

86|Acquaint|To Make Familiar|Verb

87|Acquiesce|To Rest Satisfied|Verb

88|Acquire|To Get|Verb

89|Acquisitive|Acquired|Adjective

90|Acquit|To Declare Or Find Not Guilty, Innocent|Verb

91|Acreage|Size, As Measured In Acres|Noun

92|Acrid|Sharp And Harsh, Or Bitter And Not To The Taste, Pungent|Adjective

93|Acrimonious|Of Or Pertaining To Words, Arguments, Quarrels|Adjective

94|Acrimony|Bitterness Or Sharpness Of Manner, Speech, Temper|Noun

95|Acrophobia|Fear Of Heights|Noun

96|Actionable|Affording Grounds For Legal Action|Adjective

97|Actuality|The State Of Existing, Existence|Noun

98|Actuarial|Of Or Pertaining To Actuaries|Adjective

99|Actuary|Registrar, Clerk|Noun

100|Acuity|Sharpness Or Acuteness, As Of A Needle, Wit, Etc|Noun

101|Acumen|Quickness Of Perception Or Discernment, Penetration Of Mind|Noun

102|Acute|Sharp|Adjective

103|Ad Hoc|Specifically For|Adjective

104|Ad Infinitum|To Infinity|Adjective

105|Adage|An Old Saying, Which Has Obtained Credit By Long Use|Noun

106|Adamant|Resistant To Reason, Determined, Inflexible|Adjective

107|Adapt|To Make Suitable, To Make To Correspond, To Fit Or Suit|Verb

108|Addendum|An Addition Or Change|Noun

109|Addle|To Make Or Become Confused|Verb

110|Adduce|To Cite (As Proof)|Verb

111|Adept|Well Skilled, Completely Versed, Thoroughly Proficient|Adjective

112|Adhere|To Stick Fast Or Cleave, To Become Joined Or United|Verb

113|Adhesion|The Ability Of A Substance To Stick To An Unlike Substance|Noun

114|Adieu|A Farewell, A Goodbye, Especially A Fond Farewell|Noun

115|Adjacent|Close, Or Contiguous, Neighboring, Bordering On|Adjective

116|Adjourn|To Postpone|Verb

117|Adjudge|To Declare To Be|Verb

118|Adjudicate|To Settle A Legal Case Or Other Dispute|Verb

119|Adjunct|Attached To Another In A Dependent Or Subordinate Position|Noun

120|Adjuration|A Grave Warning|Noun

121|Adjutant|A Military Officer|Adjective

122|Administrator|One Who Administers Affairs, One Who Directs Or Manages|Noun

123|Admissible|Accepted Or Allowed, Acceptable|Adjective

124|Admittance|The Act Of Admitting|Noun

125|Admonish|To Warn Of A Fault, To Reprove Gently, But Seriously|Verb

126|Ado|To Do, In Doing, As, There Is Nothing Ado|Noun

127|Adoration|An Act Of Religious Worship|Noun

128|Adorn|To Decorate|Verb

129|Adroit|Dexterous|Adjective

130|Adulation|Flattery, Fulsome Praise|Noun

131|Adulterate|To Make Impure By Adding Improper, Or Inferior Ingredients|Verb

132|Adumbrate|To Foreshadow Vaguely|Verb

133|Advent|Coming, Arrival|Noun

134|Adventitious|From An External Source, Not Innate Or Inherent|Adjective

135|Adversary|An Enemy|Noun

136|Adverse|Unfavorable, Antagonistic In Purpose Or Effect, Hostile|Adjective

137|Adversity|Hardship (Usually Uncountable)|Noun

138|Advert|To Turn Attention|Verb

139|Advisory|Able To Give Advice|Adjective

140|Advocacy|Active Support|Noun

141|Advocate|To Speak In Favor Of|Verb

142|Aegis|The Shield Or Breastplate Of Zeus Or Athena, Protection|Noun

143|Aerial|Of, In, Or From The Air, Atmospheric|Adjective

144|Aeronaut|One Who Glides Through The Air In An Airship Or Balloon|Noun

145|Aerostat|An Aircraft That Derives Its Lift From Buoyancy|Noun

146|Aesthete|A Person Who Has Refined Sensitivity Towards Art Or Nature|Noun

147|Aesthetic|Having A Sense Of Beauty|Adjective

148|Affable|Pleasant, Easy To Approach|Adjective

149|Affect|To Influence Or Alter|Verb

150|Affiliate|To Adopt, To Receive Into A Family As A Son, To Ally|Verb

151|Affiliation|The Relationship Resulting From Association|Noun

152|Affinity|A Natural Liking For Or Attraction To A Person, Thing, Idea|Noun

153|Affirmation|A Declaration That Something Is True, An Oath|Noun

154|Affirmative|Pertaining To Truth, Asserting That Something Is True|Adjective

155|Affix|To Attach|Verb

156|Afflict|To Distress With Mental/Bodily Pain|Verb

157|Affluent|Having Lots Of Wealth, Property Or Other Material Goods|Adjective

158|Affront|To Insult Intentionally, Especially Openly|Verb

159|Aficionado|A Fan Or Devotee|Noun

160|Afire|On Fire|Adjective

161|Afoot|On Foot|Adjective

162|Aforesaid|A Previously Stated Statement|Adjective

163|Afresh|Anew|Adjective

164|Afrikaans|An Official Language Of South Africa, Developed Out Of Dutch|Noun

165|Agglomerate|To Wind Or Collect Into A Ball,  To Gather Into A Mass|Verb

166|Aggrandize|To Widen In Scope|Verb

167|Aggravate|To Make Worse, Or More Severe|Verb

168|Aggregate|To Bring Together, To Collect Into A Mass Or Sum|Verb

169|Aggress|To Set Upon, To Attack|Verb

170|Aggrieve|To Give Pain Or Sorrow To, To Afflict, To Oppress|Verb

171|Aghast|Terrified, Struck With Amazement|Adjective

172|Agile|Active, Quick And Coordinated|Adjective

173|Agitate|To Move With A Violent, Irregular Action|Verb

174|Agnostic|The Doubt Of A Higher Power/Being|Adjective

175|Agog|In Eager Desire, Eager, Astir|Adjective

176|Agrarian|Of, Or Relating To, The Ownership And Cultivation Of Land|Adjective

177|Agriculture|The Art Or Science Of Cultivating The Ground|Noun

178|Aide-De-Camp|A Military Officer Who Assists A Higher Ranking Officer|Noun

179|Ailment|A Disease, Sickness|Noun

180|Akin|Related By Blood, Similar|Adjective

181|Alabaster|A Finely Granular Variety Of Gypsum|Noun

182|Alacrity|Cheerful Readiness|Noun

183|Albeit|Although, Even If|Adjective

184|Albino|A Person, Plant  Or Animal With A Deficiency In Pigmentation|Adjective

185|Alchemy|The Search For A Universal Panacea (Became Chemistry)|Noun

186|Alcoholism|A Chronic Disorder Characterized By Dependence On Alcohol|Noun

187|Alcove|A Small Recessed Area Set Off From A Larger Room|Noun

188|Alder|Belonging To The Birch Tree Family|Noun

189|Alderman|A Member Of Several Municipal Legislative Bodies|Noun

190|Alias|A False Name Used To Conceal One'S Identity|Noun

191|Alibi|An Excuse, Especially To Avoid Blame|Noun

192|Alien|A Person Who Has Been Estranged Or Excluded|Noun

193|Alienate|To Make Indifferent Or Hostile|Verb

194|Aliment|That Which Nourishes, Food|Noun

195|Alimony|A Court-Enforced Allowance Made To A Former Spouse|Noun

196|Alkali|One Of A Class Of Caustic Bases|Noun

197|Allay|To Make Quiet Or Put At Rest, To Pacify Or Appease|Verb

198|Allege|To Assert Without Proof|Verb

199|Allegiance|Loyalty To A Person, Group, Or Cause|Noun

200|Allegory|A Symbolic Narrative|Noun

201|Alleviate|To Make Easier To Endure, Lessen|Verb

202|Alliance|The State Of Being Allied, The Act Of Allying Or Uniting|Noun

203|Allocate|To Assign Or Plot|Verb

204|Allot|To Distribute By Lot|Verb

205|Alloy|To Mix|Verb

206|Allude|To Refer Casually Or Indirectly|Verb

207|Allure|To Invite By Something Flattering Or Acceptable, To Entice|Verb

208|Allusion|An Indirect Reference, A Hint, A Reference To Something|Noun

209|Alluvion|Overflow, Flood|Noun

210|Ally|To Unite, Or Form A Connection Between|Verb

211|Almanac|A Book Or Table Listing Nautical, Astronomical, Etc. Events|Noun

212|Aloft|In Or Into The Air|Adverb

213|Aloof|Reserved And Remote, Physically Or Emotionally Distant|Adjective

214|Altar|A Table Or Similar Flat-Topped Structure For Religious Rites|Noun

215|Alter|To Change The Form Or Structure Of|Verb

216|Alteration|The Act Of Making Different|Noun

217|Altercate|To Argue, Quarrel Or Wrangle With Someone|Verb

218|Alternate|To Perform By Turns Or In Succession, Interchange Regularly|Verb

219|Alternative|Relating To A Choice Between Two Or More Possibilities|Adjective

220|Altitude|The Height Measured From Sea Level Up To Any Given Point|Noun

221|Alto|A Musical Section Higher Than Tenor And Lower Than Soprano|Noun

222|Altruism|Regard For Others, Both Natural And Moral, Kindness|Noun

223|Amalgam|A Combination Of Different Things|Noun

224|Amalgamate|Blend, Merge|Verb

225|Amass|To Collect Into A Mass Or Heap|Verb

226|Amateur|Non-Professional|Adjective

227|Amatory|Of Or Relating To Love|Adjective

228|Ambiance|Mood, Quality, Atmosphere|Noun

229|Ambidextrous|Having Equal Ability In Both Hands|Adjective

230|Ambiguous|To Be Vague, Non-Specific|Adjective

231|Ambitious|Possessing, Or Controlled By Ambition|Adjective

232|Ambivalent|Experiencing Contradictory Feelings, Beliefs, Or Motivations|Adjective

233|Amble|Slow Walk, Stroll|Noun

234|Ambrosial|Succulently Sweet Or Fragrant|Adjective

235|Ambulance|Emergency Vehicle That Transports Sick Or Injured People|Noun

236|Ambulate|To Relocate One'S Self Under The Power Of One'S Own Legs|Verb

237|Ambush|To Act Of Lying In Concealment As To Attack By Surprise|Verb

238|Ameliorate|To Make Or Become Better, To Improve|Verb

239|Amenable|Open To Influence Or Advice, Agreeable|Adjective

240|Amend|To Make Better, To Change|Verb

241|Amenity|Pleasantness|Noun

242|Americanism|A Trait Particuliar To The Us Or Its Citizens|Noun

243|Amiable|Friendly, Sociable|Adjective

244|Amicable|Peaceable, Characterized By Showing Goodwill|Adjective

245|Amiss|Wrong, Faulty, Out Of Order, Improper|Adjective

246|Amity|The Cooperative And Supportive Relationship Between People|Noun

247|Amnesty|To Grant A Pardon (To A Group)|Verb

248|Amoral|Being Neither Moral Nor Immoral|Adjective

249|Amorous|Inclined To Love, Having A Propensity To Love|Adjective

250|Amorphous|Lacking Definite Form|Adjective

251|Amour|A Love Affair|Noun

252|Ampere|The Base Si Unit Of Electrical Current|Noun

253|Ampersand|"The Symbol ""&"""|Noun

254|Amphibious|Able To Live In Water And On Land|Adjective

255|Amphitheater|A Semi-Circular Acoustic Backdrop For An Outdoor Venue|Noun

256|Ample|Large, Great In Size, Extent, Capacity, Or Bulk, Spacious|Adjective

257|Amplitude|The Measure Of Something'S Size, Largeness, Magnitude|Noun

258|Amply|Abundantly|Adverb

259|Amputate|To Surgically Remove A Part Of The Body, Especially A Limb|Verb

260|Amusement|Entertainment|Noun

261|Anachronism|A Chronological Mistake, The Erroneous Dating Of An Event|Noun

262|Anagram|A Word/Phrase Formed From Another Rearranging Its Letters|Noun

263|Analgesic|Of Or Relating To Analgesia, Anodyne|Adjective

264|Analogous|Corresponding To Something Else, Bearing Some Resemblance|Adjective

265|Analogy|Similarity Between Like Features Of Two Things|Noun

266|Analyst|Someone Who Analyzes|Noun

267|Analyze|To Subject To Analysis|Verb

268|Anarchy|A State Of Society Without Government Or Law|Noun

269|Anathema|A Person Or Thing Detested Or Loathed|Noun

270|Anatomy|The Art Of Studying The Different Parts Of An Organized Body|Noun

271|Ancestry|Condition As To Ancestors, Ancestral Lineage|Noun

272|Ancillary|Subordinate, Secondary, Auxiliary, Accessory|Adjective

273|Anecdote|A Short Account Of A History, Usually Amusing|Noun

274|Anemia|A Medical Condition Of Too Little Hemoglobin|Noun

275|Anemometer|A Device To Measure Wind Speed|Noun

276|Anesthesia|A Method Of Preventing Sensation, Used To Eliminate Pain|Noun

277|Anew|Over Again|Adverb

278|Angelic|Belonging To, Resembling, Or Proceeding From, Angels|Adjective

279|Anglo-Saxon|Native Or Inhabitant Of England Prior To The Norman Conquest|Adjective

280|Anglophobia|Fear Or Dislike Of England|Noun

281|Anguish|To Suffer Pain|Verb

282|Angular|Relating To An Angle Or Angles, Having An Angle Or Angles|Adjective

283|Anhydrous|Free From Water|Adjective

284|Animadversion|A Criticism, A Critical Remark|Noun

285|Animalcule|An Older Term For A Microscopic Animal Or Protozoan|Noun

286|Animate|To Impart Motion Or The Appearance Of Motion To|Verb

287|Animosity|Strong Hostility|Noun

288|Animus|The Basic Impulses And Instincts Which Govern One'S Actions|Noun

289|Annal|Occurring Once A Year|Noun

290|Annex|To Add Something To Another, To Incorporate Into|Verb

291|Annihilate|To Reduce To Nothing, To Destroy, To Eradicate|Verb

292|Annotate|To Add Annotation|Verb

293|Annuity|A Specified Income Payable At Stated Intervals For Period|Noun

294|Annul|To Formally Revoke The Validity Of|Verb

295|Annunciation|The Act Of Announcing Something|Noun

296|Anode|Electrode Of An Electrochemical Cell Where Oxidation Occurs|Noun

297|Anoint|To Rub Or Sprinkle On|Verb

298|Anomalous|Deviating From What Is Standard, Expected Or Normal|Adjective

299|Anomaly|A Deviation From A Rule Or From What Is Regarded As Normal|Noun

300|Anonymity|The Quality Or State Of Being Anonymous, Anonymousness|Noun

301|Antagonism|A Strong Natural Dislike Or Hatred, Antipathy|Noun

302|Ante|Risks, Stakes|Verb

303|Antecede|To Go Before, To Precede|Verb

304|Antechamber|A Small Room Used As An Entryway Area To A Larger Room|Noun

305|Antedate|To Occur Before An Event Or Time, To Predate|Verb

306|Antediluvian|Old, Ancient|Adjective

307|Antemeridian|Of Or Relating To Morning, That Happens In The Morning|Adjective

308|Antemundane|Being Or Occurring Prior To The Creation Of The World|Adjective

309|Antenatal|Occurring Or Existing Before Birth|Adjective

310|Anterior|Before In Place|Adjective

311|Anteroom|A Waiting Room, A Small Room Before A Larger One|Noun

312|Anthology|A Book Or Collection Of Writings|Noun

313|Anthracite|A Slow-Burning Coal|Noun

314|Anthropocentric|Giving Preference To Humans Above All Other Considerations|Adjective

315|Anthropoid|Having Characteristics Of A Human Being|Adjective

316|Anthropology|The Holistic Scientific And Social Study Of Humanity|Noun

317|Anthropomorphous|Resembling A Human Being|Adjective

318|Antic|A Ludicrous Or Extravagant Gesture|Verb

319|Antichrist|One Who Works Against The Teachings Of Christ|Noun

320|Antidepressant|A Substance That Is Used In The Treatment Of Mood Disorders|Noun

321|Antidote|A Remedy To Counteract The Effects Of Poison|Noun

322|Antigen|A Toxin That Induces An Immune Response In The Body|Noun

323|Antilogy|A Contradiction In Related Terms Or Ideas|Noun

324|Antipathy|A Deep Seated Feeling Of Dislike|Noun

325|Antiphon|A Devotional Piece Of Music Sung Responsively|Noun

326|Antiphony|Alternate, Responsive Singing By A Two Part Choir|Noun

327|Antipodes|Any Two Places That Are On Opposite Sides Of The Earth|Noun

328|Antiquary|A Person Who Is Knowledgeable Of, Or Who Collects Antiques|Noun

329|Antiquate|To Cause To Become Old Or Obsolete|Verb

330|Antique|Of, Or Belonging To The Past, Not Modern|Adjective

331|Antiseptic|Of, Or Relating To Antisepsis, Or The Use Of Antiseptics|Adjective

332|Antislavery|Opposed To The Practice Of Slavery|Adjective

333|Antispasmodic|Referring To Something That Suppresses Spasms, Like A Drug|Adjective

334|Antistrophe|The Second Section Of An Ancient Greek Choral Ode|Noun

335|Antithesis|A Proposition Diametrically Opposite Of Another Proposition|Noun

336|Antitoxin|A Substance, Formed In The Body, That Counters A Toxin|Noun

337|Antonym|A Word Which Has The Opposite Meaning Of Another|Noun

338|Anxious|Greatly Concerned, Respecting Something Future Or Unknown|Adjective

339|Apartheid|Any System That Separates People According To Race|Noun

340|Apathy|Complete Lack Of Emotion Or Motivation About Something|Noun

341|Aperture|An Opening Or Gap In Something|Noun

342|Apex|The Highest Point Of Something|Noun

343|Aphorism|A Saying Embodying A General Truth|Noun

344|Apiary|A Place Where Bees And Their Hives Are Kept|Noun

345|Aplomb|Self-Confidence, Poise, Composure|Noun

346|Apocryphal|Of Doubtful Authenticity|Adjective

347|Apogee|The Point In Orbit Around Earth When The Object Is Farthest|Noun

348|Apolitical|Having No Interest Or Involvement In Politics|Adjective

349|Apostasy|The Renunciation Of A Belief Or Set Of Beliefs|Noun

350|Apostate|A Person Who Forsakes His Religion, Cause, Party|Noun

351|Apostle|A Missionary, Or Leader Of A Religious Mission|Noun

352|Apothecary|A Person Who Makes And Provides/Sells Drugs And/Or Medicines|Noun

353|Apothegm|A Short, Witty, Instructive Saying, An Aphorism Or Maxim|Noun

354|Apotheosis|The Fact Or Action Of Becoming Or Making Into A God|Noun

355|Appalling|Causing Dismay Or Horror|Adjective

356|Apparent|Capable Of Being Seen, Or Easily Seen|Adjective

357|Apparition|A Supernatural Appearance Of A Person Or Thing, Like A Ghost|Noun

358|Appease|Pacify Or Placate|Verb

359|Appellate|Describing Something That Is Appealed To|Adjective

360|Append|To Add As Supplement Or In Addition|Verb

361|Appertain|To Relate To|Verb

362|Applicable|Suitable For Application, Relevant, Appropriate|Adjective

363|Application|The Act Of Putting To A Special Use Or Purpose|Noun

364|Apportion|To Divide And Distribute Portions Of A Whole|Verb

365|Apposite|Appropriate, Relevant, Well-Suited, Fit|Adjective

366|Appraise|To Assess The Value Or Quality Of|Verb

367|Apprehend|To Take Or Seize, To Take Hold Of|Verb

368|Apprehensive|Anticipating Something With Anxiety Or Fear|Adjective

369|Apprentice|A Person Who'S Learning A Trade From A Skilled Employer|Noun

370|Apprise|To Notify, Or To Make Aware, To Inform|Verb

371|Approbation|Approval|Noun

372|Appropriate|Suitable Or Fitting For A Particular Purpose|Adjective

373|Appurtenance|An Appendage Added To Something Else|Noun

374|Apropos|Of An Appropriate Or Pertinent Nature|Adjective

375|Aptitude|Natural Ability To Acquire Knowledge Or Skill|Noun

376|Aquatic|Relating To Water|Adjective

377|Aqueduct|A Small Canal Containing Fluid|Noun

378|Aqueous|Consisting Mostly Of Water|Adjective

379|Arable|Suitable For Cultivation, Such As By Ploughing|Adjective

380|Arbiter|A Person Empowered To Make Decisions|Noun

381|Arbitrary|Random, Not Based On Reason Or System|Adjective

382|Arbitrate|To Judge, To Umpire|Verb

383|Arbitrator|A Person Delegated The Authority To Settle A Dispute|Noun

384|Arbor|A Shady Sitting Place, Usually In A Park Or Garden|Noun

385|Arboreal|Of Or Relating To Trees|Adjective

386|Arboriculture|The Cultivation Of Trees And Shrubs|Noun

387|Arcade|A Row Of Arches|Noun

388|Arcane|Known Or Understood By Very Few|Adjective

389|Archaeology|The Scientific Study Of Historic Or Prehistoric Peoples|Noun

390|Archaic|Of Or Characterized By Antiquity|Adjective

391|Archangel|A Powerful Angel That Leads Many Other Angels|Noun

392|Archbishop|A Senior Bishop Who Is In Charge Of An Archdiocese|Noun

393|Archdeacon|(Anglican,Eastern Orthodox) A Senior Administrative Official|Noun

394|Archetype|The Original Model From Which All Similar Things Are Copied|Noun

395|Archipelago|A Cluster Of Island|Noun

396|Archive|Any Extensive Record Or Collection Of Data|Noun

397|Ardent|Intensely Devoted, Fervent, Passionate|Adjective

398|Ardor|Passion|Noun

399|Arduous|Difficult And Tiring|Adjective

400|Aria|A Musical Piece Written For A Solo Voice With Accompaniment|Noun

401|Arid|Extremely Dry|Adjective

402|Aristocrat|One Of A Ruling Class, A Noble|Noun

403|Armada|A Fleet Of Warships|Noun

404|Armful|The Amount An Arm Or Arms Can Hold|Noun

405|Armistice|A Formal Agreement To End Fighting|Noun

406|Armory|A Place Where Arms (Weapons) Are Kept|Noun

407|Aroma|Smell (Usually In Relation To Food)|Noun

408|Arouse|To Evoke Or Awaken A Feeling, Emotion Or Response|Verb

409|Arraign|To Officially Charge Someone In A Court Of Law|Verb

410|Arrange|To Set Up, To Organize, Especially In A Positive Manner|Verb

411|Arrangement|The Act Of Arranging|Noun

412|Arrant|Complete, Total|Adjective

413|Arrear|Work To Be Done, Obligation|Noun

414|Arrogant|Haughty, Conceited|Adjective

415|Arrogate|Assume, Take Or Claim (Something) Without Justification|Verb

416|Arroyo|A Small Watercourse, Usually Dry Except For Heavy Rains|Noun

417|Arsenal|A Collection Or Supply Of Weapons Or Munitions|Noun

418|Artesian|Pertaining To A Well In Which Water Rises From Pressure|Adjective

419|Artful|Performed With, Or Characterized By, Art Or Skill|Adjective

420|Arthurian|Of Or Relating To The Legend Of King Arthur|Adjective

421|Articulate|Express (An Idea Of Feeling) Fluently And Coherently|Verb

422|Artifact|An Object Made Or Shaped By Humans|Noun

423|Artifice|A Crafty But Underhanded Deception|Noun

424|Artisan|A Worker In A Skilled Trade|Noun

425|Artless|Having Or Displaying No Guile, Cunning, Or Deceit|Adjective

426|Ascendant|Rising, Moving Upward|Adjective

427|Ascent|The Act Of Ascending  A Motion Upwards|Noun

428|Ascertain|To Find Out Definitely, To Discover Or Establish|Verb

429|Ascetic|A Person Who Practices Severe Self-Discipline|Noun

430|Ascribe|To Attribute A Cause Or Characteristic To Something|Verb

431|Aseptic|Free Of Disease-Causing Microbes|Adjective

432|Asexual|Having No Distinct Sex, Having No Interest In Sex|Adjective

433|Ashen|Of The Pale Gray Color Of Ash|Adjective

434|Asinine|Foolish, Unintelligent Or Silly|Adjective

435|Askance|Turned To The Side, Especially Of The Eyes|Adjective

436|Askew|Turned Or Twisted To One Side|Adjective

437|Asperity|Harshness Of Tone Or Manner|Noun

438|Aspersion|An Attack On Somebody'S Reputation Or Good Name|Noun

439|Aspiration|Ambition, Goal|Noun

440|Aspire|To Hope Or Dream, Especially Towards A Profession|Verb

441|Assail|To Make A Concerted Of Violent Attach On|Verb

442|Assailant|Someone Who Attacks Or Assails Another Violently|Noun

443|Assassin|To Assassinate|Verb

444|Assay|To Examine Or Analyze|Verb

445|Assent|To Agree To, Give Approval To|Verb

446|Assert|To State A Fact Or Belief Confidently And Forcefully|Verb

447|Assess|To Determine, Estimate Or Judge The Value Of, To Evaluate|Verb

448|Assessor|One Who Assesses A Property For Tax Evaluation|Noun

449|Asset|Something Or Someone Of Any Value|Noun

450|Asseverate|To Declare Earnestly, Seriously, Or Positively, To Affirm|Verb

451|Assiduous|Diligent, Industrious|Adjective

452|Assignee|One To Whom A Thing Is Assigned|Noun

453|Assimilate|To Take In And Incorporate As One'S Own|Verb

454|Assonance|The Repetition Of Similar Or Identical Vowel Sounds|Noun

455|Assonant|Having Successive Similar Vowel Sounds|Adjective

456|Assonate|To Correspond In (Particularly Vowel) Sounds|Verb

457|Assuage|Make An Unpleasant Feeling Less Intense|Verb

458|Assurance|A Declaration Tending To Inspire Full Confidence|Noun

459|Astound|To Overwhelm With Amazement|Verb

460|Astral|Relating To Or Resembling The Stars, Starry|Adjective

461|Astringent|Sharp, Caustic, Severe|Adjective

462|Astute|Shrewd, Sharp|Adjective

463|Asunder|Apart, Divided|Adjective

464|Asylum|A Place Of Safety|Noun

465|Atheist|Of Or Relating To Atheists Or Atheism, Atheistic|Adjective

466|Athirst|Thirsty|Adjective

467|Athwart|Across, Crosswise|Adv

468|Atomizer|An Instrument For Reducing A Liquid To Spray Or Vapor|Noun

469|Atone|To Make Reparation, Compensation, Or Amends, For An Offence|Verb

470|Atrocious|Frightful, Evil, Cruel Or Monstrous|Adjective

471|Atrocity|An Extremely Wicked Or Cruel Act|Noun

